"subject_id" "activity_labels" "time.BodyAcc.mean.X" "time.BodyAcc.mean.Y" "time.BodyAcc.mean.Z" "time.GravityAcc.mean.X" "time.GravityAcc.mean.Y" "time.GravityAcc.mean.Z" "time.BodyAccJerk.mean.X" "time.BodyAccJerk.mean.Y" "time.BodyAccJerk.mean.Z" "time.BodyGyro.mean.X" "time.BodyGyro.mean.Y" "time.BodyGyro.mean.Z" "time.BodyGyroJerk.mean.X" "time.BodyGyroJerk.mean.Y" "time.BodyGyroJerk.mean.Z" "time.BodyAccMag.mean" "time.GravityAccMag.mean" "time.BodyAccJerkMag.mean" "time.BodyGyroMag.mean" "time.BodyGyroJerkMag.mean" "time.BodyAcc.std.X" "time.BodyAcc.std.Y" "time.BodyAcc.std.Z" "time.GravityAcc.std.X" "time.GravityAcc.std.Y" "time.GravityAcc.std.Z" "time.BodyAccJerk.std.X" "time.BodyAccJerk.std.Y" "time.BodyAccJerk.std.Z" "time.BodyGyro.std.X" "time.BodyGyro.std.Y" "time.BodyGyro.std.Z" "time.BodyGyroJerk.std.X" "time.BodyGyroJerk.std.Y" "time.BodyGyroJerk.std.Z" "time.BodyAccMag.std" "time.GravityAccMag.std" "time.BodyAccJerkMag.std" "time.BodyGyroMag.std" "time.BodyGyroJerkMag.std"
1 NA -0.0182981725176081 -0.10784573454611 -0.545795331328326 -0.0825562579855908 0.072339870389049 -0.959859435936599 0.0165908438802305 -0.00910758730117003 -0.524721922818732 -0.0880722729400576 0.0862641666597983 -0.686555715201729 -0.0417164808293948 -0.0471393985477522 -0.637812687210375 -0.497096402038329 -0.497096402038329 -0.515922167555159 -0.499839593745821 -0.652050770910663 -0.367716218227378 -0.502645746562824 -0.580162894375792 -0.951150627458213 -0.925817590867435 -0.960843263371758 -0.470412403511239 -0.717322274881844 -0.518381597802306 -0.450979810499568 -0.597496136795101 -0.70103996425072 -0.634472244550432 -0.664591977786455 -0.642637009504323 -0.547872550685879 -0.547872550685879 -0.543385370018156 -0.439586116879366 -0.675544103054755
2 NA -0.0191323183174834 -0.115649958175497 -0.605586497159271 -0.147219886910411 0.134865335090728 -0.963015508245033 0.00708771249764901 0.000755760748377483 -0.557809603123841 -0.0568420186817881 0.0872599422291391 -0.710648927815894 -0.0433986835453642 -0.0557541828188742 -0.671679103311258 -0.552812545643709 -0.552812545643709 -0.512115278415232 -0.680584887880795 -0.740088733655629 -0.428962986589404 -0.589360062210596 -0.639919016384106 -0.960033560165563 -0.945365383907285 -0.964058628278146 -0.491875889831788 -0.741885388311258 -0.570367517489073 -0.722943674337748 -0.634888927843046 -0.714453179304636 -0.783595466728477 -0.674611933293046 -0.687879361469205 -0.627204257981358 -0.627204257981358 -0.544297072459768 -0.654323214404305 -0.759954726236755
3 NA -0.017856067384956 -0.106492632429097 -0.623413602046921 -0.0260590480328739 0.0480937904190616 -0.966457565630499 0.0144664329060411 -0.000526818872875366 -0.635484688041056 -0.0743565308442815 0.0866875497119062 -0.699262195705865 -0.0401923943695015 -0.0521178264170088 -0.689328428607038 -0.591224780306452 -0.591224780306452 -0.607658214170381 -0.674010290979472 -0.80366136372434 -0.480015920697654 -0.653625579293255 -0.65376509042522 -0.9445645371261 -0.926966278211144 -0.967122556070381 -0.55721186773783 -0.796066240234604 -0.639216307122287 -0.76302218170088 -0.709483440322581 -0.705598279982991 -0.842659862111437 -0.743028500565982 -0.686669637002933 -0.652045644296188 -0.652045644296188 -0.633860084917302 -0.645531109300293 -0.812506863431085
4 NA -0.0148081545344921 -0.107521430810726 -0.605211727785489 0.112591195496986 0.164130896618297 -0.962636979274448 0.00351340949514196 -0.00737375142832808 -0.631853083289621 -0.0787229907785489 0.0957174866009464 -0.701397703369085 -0.0400427574662461 -0.0578089304000631 -0.723788617823344 -0.606556049548896 -0.606556049548896 -0.647249966810726 -0.706738493542587 -0.844187064164038 -0.509929384011325 -0.709492735962145 -0.635360700063407 -0.941416800167192 -0.941403426072555 -0.963924663123028 -0.584063204701893 -0.843353231167192 -0.627203745080776 -0.79823574873817 -0.726374197066246 -0.706845367429022 -0.902502592618297 -0.748369141315457 -0.716356850794953 -0.645659872741325 -0.645659872741325 -0.661833710495268 -0.675907856583281 -0.852586556529969
5 NA -0.0154833455336192 -0.105661736816887 -0.507691011391722 0.112313109736755 0.0921607197449904 -0.964629108807947 0.0017656830384106 -0.0029537113427351 -0.575890535679801 -0.0774316445596026 0.0866267116745033 -0.709955676983444 -0.0490624519374172 -0.0506258160122517 -0.662581310334437 -0.52162345171192 -0.52162345171192 -0.589031268133113 -0.664078383532781 -0.734187493344371 -0.402724906078146 -0.646443640175497 -0.537623406579801 -0.939973777950331 -0.94207867884106 -0.965895466821192 -0.506544358609603 -0.78456199486755 -0.55995052401457 -0.705638306688742 -0.606589817380795 -0.713554046655629 -0.774114270364238 -0.564680771249007 -0.656131212417219 -0.572049671146642 -0.572049671146642 -0.610037673958278 -0.63494621060596 -0.745123471092715
6 NA -0.0175697042641846 -0.11599454136 -0.505086085072062 0.0162055455953846 0.0475199990906462 -0.958898709015385 0.000479281129661539 -0.00225896302076923 -0.531468310262154 -0.0706129097498462 0.0973130293888923 -0.653800660041538 -0.0454921005615385 -0.0533610323667692 -0.546009968372308 -0.483790606354154 -0.483790606354154 -0.502935062310769 -0.579837818063692 -0.644474485460492 -0.368403670137262 -0.672512004586708 -0.540118251305108 -0.9509348864 -0.937910223507692 -0.959667484707692 -0.454437496885815 -0.738955207627692 -0.532482808216954 -0.626252072652308 -0.599910232855692 -0.665463347286154 -0.677635980501539 -0.526908306306892 -0.546114770441969 -0.542147394119077 -0.542147394119077 -0.532532133202462 -0.547396504488923 -0.665048596243385
7 NA -0.0187904887668182 -0.112492375388312 -0.577518324748052 -0.0420221452496753 0.0342160711928604 -0.956538178587662 0.00760909767418831 -0.00791725696048701 -0.615131377408279 -0.0646077113078896 0.0977671721406169 -0.687155474097403 -0.0414401406082792 -0.0610307928148701 -0.701731200484416 -0.510669879158539 -0.510669879158539 -0.550560230585714 -0.598670795839286 -0.658017844948377 -0.546403365345779 -0.456473642256981 -0.602693080815584 -0.955312554090909 -0.923304724090909 -0.957590645532468 -0.622997416262013 -0.664336860544416 -0.626469403107792 -0.652408657909091 -0.663340760331169 -0.697234094308442 -0.674920114957468 -0.750808705594156 -0.715075875415909 -0.590530558762468 -0.590530558762468 -0.580196879080195 -0.572643633239708 -0.706052265722078
8 NA -0.0181894974688612 -0.106809623683986 -0.582958863017438 0.0303211113118861 0.0836542406807936 -0.954256666035587 0.000860301581786477 -0.0196719912994306 -0.575993073911744 -0.091077509832669 0.0640867611561922 -0.656219242281851 -0.0400922240331673 -0.0582887148366548 -0.674984452240214 -0.554038979266192 -0.554038979266192 -0.564471999961566 -0.581422885341281 -0.715838385516014 -0.349383732046263 -0.499472687913167 -0.608402968452313 -0.94844645047331 -0.923180663601423 -0.954899550320285 -0.458724925167972 -0.66835678475516 -0.555331522209609 -0.570941237019217 -0.511392038012811 -0.663011050071174 -0.683086930288968 -0.695970301754448 -0.661158028429537 -0.607399305545907 -0.607399305545907 -0.585777269087544 -0.535807834679359 -0.72999183041637
9 NA -0.0209466555412396 -0.101233826213889 -0.555656544538194 -0.0467446999509028 0.104353653032743 -0.958784666180556 0.00678485848399306 -0.00102998088194444 -0.578305161360069 -0.0729884312991667 0.109092913237986 -0.676452392569444 -0.0397344421815972 -0.053402884281875 -0.7617108665625 -0.553038255314792 -0.553038255314792 -0.608862145384722 -0.663198385034722 -0.786176892048611 -0.5758878952125 -0.506111776081806 -0.585175212755556 -0.949938115208333 -0.920554317815972 -0.959551425659722 -0.678923872274306 -0.721610094569444 -0.569240277178819 -0.670498220701389 -0.587557692291458 -0.679911399142361 -0.773273878854167 -0.744656038298611 -0.763637090416667 -0.613478004021181 -0.613478004021181 -0.621701021226389 -0.626993022752778 -0.796943696597222
10 NA -0.017835790552415 -0.111301532185714 -0.537807711163265 -0.0740248544557823 0.0552047227876769 -0.965808126428571 0.0129143257457823 -0.0113556967940476 -0.52938321427551 -0.0846403674590918 0.0910265011879252 -0.67390558227449 -0.0424219983671769 -0.0555521277515646 -0.703243499727891 -0.545348810631551 -0.545348810631551 -0.529340480130272 -0.624408369413333 -0.768821828979592 -0.497405885644898 -0.614776952226361 -0.567943191105442 -0.95452407255102 -0.938706428064626 -0.966520191632653 -0.540236619204728 -0.750729260772109 -0.52608240587449 -0.591333155194558 -0.598142328621088 -0.679430722994898 -0.768641779047619 -0.686800252738095 -0.695726222857143 -0.596591539034354 -0.596591539034354 -0.562573002243503 -0.584155711638435 -0.779985050238095
